province,commune,zone,colline,type
BUHUMUZA,Butaganzwa,Bisinde,Bisinde,colline
BUHUMUZA,Butaganzwa,Bisinde,Bugarama,colline
BUHUMUZA,Butaganzwa,Bisinde,Karambi,colline
BUHUMUZA,Butaganzwa,Bisinde,Kazimya,colline
BUHUMUZA,Butaganzwa,Bisinde,Nyabigugo,colline
BUHUMUZA,Butaganzwa,Bisinde,Rutimbura,colline
BUHUMUZA,Butaganzwa,Bisinde,Rutonganyikwa,colline
BUHUMUZA,Butaganzwa,Biyorwa,Biyorwa,colline
BUHUMUZA,Butaganzwa,Biyorwa,Burenza,colline
BUHUMUZA,Butaganzwa,Biyorwa,Masazi,colline
BUHUMUZA,Butaganzwa,Biyorwa,Mihama,colline
BUHUMUZA,Butaganzwa,Biyorwa,Mpame,colline
BUHUMUZA,Butaganzwa,Biyorwa,Nyamugari,colline
BUHUMUZA,Butaganzwa,Biyorwa,Nyarubabi,colline
BUHUMUZA,Butaganzwa,Biyorwa,Rugata,colline
BUHUMUZA,Butaganzwa,Biyorwa,Taba,colline
BUHUMUZA,Butaganzwa,Mugege,Bigera,colline
BUHUMUZA,Butaganzwa,Mugege,Caragata,colline
BUHUMUZA,Butaganzwa,Mugege,Gakonko,colline
BUHUMUZA,Butaganzwa,Mugege,Kivumu,colline
BUHUMUZA,Butaganzwa,Mugege,Mpungwe,colline
BUHUMUZA,Butaganzwa,Mugege,Mugege,colline
BUHUMUZA,Butaganzwa,Mugege,Muhene,colline
BUHUMUZA,Butaganzwa,Mugege,Musenga,colline
BUHUMUZA,Butaganzwa,Mugege,Nyangurube,colline
BUHUMUZA,Butaganzwa,Mugege,Nyankende,colline
BUHUMUZA,Butaganzwa,Mugege,Rubambagire,colline
BUHUMUZA,Butaganzwa,Muriza,Bartye,colline
BUHUMUZA,Butaganzwa,Muriza,Gasasa,colline
BUHUMUZA,Butaganzwa,Muriza,Gikwiye,colline
BUHUMUZA,Butaganzwa,Muriza,Gishubi,colline
BUHUMUZA,Butaganzwa,Muriza,Kanyinya,colline
BUHUMUZA,Butaganzwa,Muriza,Kirambi,colline
BUHUMUZA,Butaganzwa,Muriza,Kiyabu,colline
BUHUMUZA,Butaganzwa,Muriza,Muriza,colline
BUHUMUZA,Butaganzwa,Muriza,Nyaburondwe,colline
BUHUMUZA,Butaganzwa,Muriza,Nyamiyaga,colline
BUHUMUZA,Butaganzwa,Muriza,Nyarurambi,colline
BUHUMUZA,Butaganzwa,Rugongo,Kirangara,colline
BUHUMUZA,Butaganzwa,Rugongo,Kivoga,colline
BUHUMUZA,Butaganzwa,Rugongo,Kizigama,colline
BUHUMUZA,Butaganzwa,Rugongo,Maramvya,colline
BUHUMUZA,Butaganzwa,Rugongo,Nyagashubi,colline
BUHUMUZA,Butaganzwa,Rugongo,Nyange,colline
BUHUMUZA,Butaganzwa,Rugongo,Rugongo,colline
BUHUMUZA,Butihinda,Butarugera,Buhorana,colline
BUHUMUZA,Butihinda,Butarugera,Kavumu,colline
BUHUMUZA,Butihinda,Butarugera,Kinyuku,colline
BUHUMUZA,Butihinda,Butarugera,Kobero,colline
BUHUMUZA,Butihinda,Butarugera,Ntaruka,colline
BUHUMUZA,Butihinda,Butarugera,Rabiro,colline
BUHUMUZA,Butihinda,Butarugera,Tangara,colline
BUHUMUZA,Butihinda,Butarugera,Wingoma,colline
BUHUMUZA,Butihinda,Butihinda,Bucamihigo,colline
BUHUMUZA,Butihinda,Butihinda,Butihinda,colline
BUHUMUZA,Butihinda,Butihinda,Maramvya,colline
BUHUMUZA,Butihinda,Butihinda,Munyinya,colline
BUHUMUZA,Butihinda,Butihinda,Ngara,colline
BUHUMUZA,Butihinda,Butihinda,Rukira,colline
BUHUMUZA,Butihinda,Butihinda,Rushombo,colline
BUHUMUZA,Butihinda,Burambira,Burambira,colline
BUHUMUZA,Butihinda,Burambira,Burenza,colline
BUHUMUZA,Butihinda,Burambira,Gikingo,colline
BUHUMUZA,Butihinda,Burambira,Gisabazuba,colline
BUHUMUZA,Butihinda,Burambira,Migwa,colline
BUHUMUZA,Butihinda,Burambira,Nyarushanga,colline
BUHUMUZA,Butihinda,Buvumbi,Buvumbi,colline
BUHUMUZA,Butihinda,Buvumbi,Gahahe,colline
BUHUMUZA,Butihinda,Buvumbi,Gitega,colline
BUHUMUZA,Butihinda,Buvumbi,Masaka,colline
BUHUMUZA,Butihinda,Buvumbi,Nyamihondi,colline
BUHUMUZA,Butihinda,Buvumbi,Zaga,colline
BUHUMUZA,Butihinda,Gashoho,Bwisha,colline
BUHUMUZA,Butihinda,Gashoho,Cihonda,colline
BUHUMUZA,Butihinda,Gashoho,Gashoho,colline
BUHUMUZA,Butihinda,Gashoho,Gishambusha,colline
BUHUMUZA,Butihinda,Gashoho,Gitwa,colline
BUHUMUZA,Butihinda,Gashoho,Kagari,colline
BUHUMUZA,Butihinda,Gashoho,Kinyami,colline
BUHUMUZA,Butihinda,Gashoho,Muruta,colline
BUHUMUZA,Butihinda,Gashoho,Muyange,colline
BUHUMUZA,Butihinda,Gashoho,Nkohwa,colline
BUHUMUZA,Butihinda,Gisanze,Bonero,colline
BUHUMUZA,Butihinda,Gisanze,Busasa,colline
BUHUMUZA,Butihinda,Gisanze,Gisebeyi,colline
BUHUMUZA,Butihinda,Gisanze,Muzingi,colline
BUHUMUZA,Butihinda,Gisanze,Rugerero,colline
BUHUMUZA,Butihinda,Giteranyi,Bisiga,colline
BUHUMUZA,Butihinda,Giteranyi,Gasenyi,colline
BUHUMUZA,Butihinda,Giteranyi,Giteranyi,colline
BUHUMUZA,Butihinda,Giteranyi,Karugunda,colline
BUHUMUZA,Butihinda,Giteranyi,Nonwe,colline
BUHUMUZA,Butihinda,Giteranyi,Rugese,colline
BUHUMUZA,Butihinda,Giteranyi,Rukungere,colline
BUHUMUZA,Butihinda,Giteranyi,Rumandari,colline
BUHUMUZA,Butihinda,Giteranyi,Shoza,colline
BUHUMUZA,Butihinda,Kamaramagambo,Cagizo,colline
BUHUMUZA,Butihinda,Kamaramagambo,Gatwenzi,colline
BUHUMUZA,Butihinda,Kamaramagambo,Kamaramagambo,colline
BUHUMUZA,Butihinda,Kamaramagambo,Kibande,colline
BUHUMUZA,Butihinda,Kamaramagambo,Kinonora,colline
BUHUMUZA,Butihinda,Kamaramagambo,Maruri,colline
BUHUMUZA,Butihinda,Kamaramagambo,Mugongo,colline
BUHUMUZA,Butihinda,Kamaramagambo,Murehe,colline
BUHUMUZA,Butihinda,Kamaramagambo,Rwamfu,colline
BUHUMUZA,Butihinda,Masaka,Cagakori,colline
BUHUMUZA,Butihinda,Masaka,Kayove,colline
BUHUMUZA,Butihinda,Masaka,Kijumbura,colline
BUHUMUZA,Butihinda,Masaka,Masaka,colline
BUHUMUZA,Butihinda,Masaka,Ngomo,colline
BUHUMUZA,Butihinda,Masaka,Nzove,colline
BUHUMUZA,Butihinda,Masaka,Rukusha,colline
BUHUMUZA,Butihinda,Mugano,Kabogo,colline
BUHUMUZA,Butihinda,Mugano,Mangoma,colline
BUHUMUZA,Butihinda,Mugano,Mika,colline
BUHUMUZA,Butihinda,Mugano,Mugano,colline
BUHUMUZA,Butihinda,Mugano,Mukoni,colline
BUHUMUZA,Butihinda,Mugano,Ndava,colline
BUHUMUZA,Butihinda,Mugano,Rubenga,colline
BUHUMUZA,Butihinda,Nyagatovu,Bunyarukiga,colline
BUHUMUZA,Butihinda,Nyagatovu,Buvumbi,colline
BUHUMUZA,Butihinda,Nyagatovu,Kobero,colline
BUHUMUZA,Butihinda,Nyagatovu,Murama,colline
BUHUMUZA,Butihinda,Nyagatovu,Musama,colline
BUHUMUZA,Butihinda,Nyagatovu,Gitaramuka,colline
BUHUMUZA,Butihinda,Nyagatovu,Nyagatovu,colline
BUHUMUZA,Butihinda,Ruzo,Bugoma,colline
BUHUMUZA,Butihinda,Ruzo,Kabira,colline
BUHUMUZA,Butihinda,Ruzo,Kagugo,colline
BUHUMUZA,Butihinda,Ruzo,Kidasha,colline
BUHUMUZA,Butihinda,Ruzo,Rusenyi,colline
BUHUMUZA,Butihinda,Ruzo,Ruzo,colline
BUHUMUZA,Butihinda,Ruzo,Vumasi,colline
BUHUMUZA,Butihinda,Tura,Buhangara,colline
BUHUMUZA,Butihinda,Tura,Gakoni,colline
BUHUMUZA,Butihinda,Tura,Kinanira,colline
BUHUMUZA,Butihinda,Tura,Kinyami,colline
BUHUMUZA,Butihinda,Tura,Mibakwe,colline
BUHUMUZA,Butihinda,Tura,Mihigo,colline
BUHUMUZA,Butihinda,Tura,Murama,colline
BUHUMUZA,Butihinda,Tura,Tura,colline
BUHUMUZA,Cankuzo,Cankuzo,Cankuzo,colline
BUHUMUZA,Cankuzo,Cankuzo,Gatungurwe,colline
BUHUMUZA,Cankuzo,Cankuzo,Kabeza,colline
BUHUMUZA,Cankuzo,Cankuzo,Kabuga,colline
BUHUMUZA,Cankuzo,Cankuzo,Kavumu,colline
BUHUMUZA,Cankuzo,Cankuzo,Mugenda,colline
BUHUMUZA,Cankuzo,Cankuzo,Mugongo,colline
BUHUMUZA,Cankuzo,Cankuzo,Mugozi,colline
BUHUMUZA,Cankuzo,Cankuzo,Muhweza,colline
BUHUMUZA,Cankuzo,Cankuzo,Musenyi,colline
BUHUMUZA,Cankuzo,Cankuzo,Muterero,colline
BUHUMUZA,Cankuzo,Cankuzo,Muyaga,colline
BUHUMUZA,Cankuzo,Cankuzo,Nyabisindu,colline
BUHUMUZA,Cankuzo,Cankuzo,Nyakivumu,colline
BUHUMUZA,Cankuzo,Cankuzo,Nyamusenga,colline
BUHUMUZA,Cankuzo,Gitanga,Gitanga,colline
BUHUMUZA,Cankuzo,Gitanga,Kibungo,colline
BUHUMUZA,Cankuzo,Gitanga,Kigaga,colline
BUHUMUZA,Cankuzo,Gitanga,Mashiga,colline
BUHUMUZA,Cankuzo,Gitanga,Nyamatongo,colline
BUHUMUZA,Cankuzo,Gitanga,Rujungu,colline
BUHUMUZA,Cankuzo,Gitanga,Saswe,colline
BUHUMUZA,Cankuzo,Gitanga,Shinge,colline
BUHUMUZA,Cankuzo,Kigamba,Gatunguru,colline
BUHUMUZA,Cankuzo,Kigamba,Gisenga,colline
BUHUMUZA,Cankuzo,Kigamba,Humure,colline
BUHUMUZA,Cankuzo,Kigamba,Kazibaziba,colline
BUHUMUZA,Cankuzo,Kigamba,Kigamba,colline
BUHUMUZA,Cankuzo,Kigamba,Kivumu,colline
BUHUMUZA,Cankuzo,Kigamba,Nyarurambi,colline
BUHUMUZA,Cankuzo,Kigamba,Rusagara,colline
BUHUMUZA,Cankuzo,Kigamba,Rwamvura,colline
BUHUMUZA,Cankuzo,Minyare,Karago,colline
